시군구코드,법정동코드,행정동코드,시도명,시군구명,법정동명,행정동명,적용시작일,적용만료일,lat,lng
11440,11700,655,서울특별시,마포구,신정동,서강동,20070101,99991231,37.5962736,127.1419836
11440,10700,585,서울특별시,마포구,마포동,도화동,20070101,99991231,37.5962736,127.1419836
11440,11600,655,서울특별시,마포구,하중동,서강동,20070101,99991231,37.5962736,127.1419836
11440,11800,655,서울특별시,마포구,당인동,서강동,20070101,99991231,37.5962736,127.1419836
11440,11400,655,서울특별시,마포구,창전동,서강동,20070101,99991231,37.5962736,127.1419836
11440,11500,655,서울특별시,마포구,상수동,서강동,20070101,99991231,37.5962736,127.1419836
11140,15200,605,서울특별시,중구,주교동,을지로동,20050315,99991231,37.566756,126.991229
11140,15100,605,서울특별시,중구,을지로5가,을지로동,20050315,99991231,37.5962736,127.1419836
11140,15300,605,서울특별시,중구,방산동,을지로동,20050315,99991231,37.5962736,127.1419836
11140,15500,605,서울특별시,중구,을지로3가,을지로동,20050315,99991231,37.566756,126.991229
11140,15600,605,서울특별시,중구,입정동,을지로동,20050315,99991231,37.566756,126.991229
11140,15700,605,서울특별시,중구,산림동,을지로동,20050315,99991231,37.566756,126.991229
11140,15900,605,서울특별시,중구,초동,을지로동,20050315,99991231,37.566756,126.991229
11140,15000,605,서울특별시,중구,을지로4가,을지로동,20050315,99991231,37.566756,126.991229
11140,16000,605,서울특별시,중구,인현동1가,을지로동,20050315,99991231,37.566756,126.991229
11140,16100,605,서울특별시,중구,저동2가,을지로동,20050315,99991231,37.566756,126.991229
11740,10300,515,서울특별시,강동구,상일동,강일동,20000101,20210630,37.5962736,127.1419836
11740,10400,515,서울특별시,강동구,하일동,강일동,20000101,20070101,37.5649416,127.1739152
11740,11000,515,서울특별시,강동구,강일동,강일동,20000101,99991231,37.5649416,127.1739152
11110,15800,615,서울특별시,종로구,예지동,종로1.2.3.4가동,19981201,99991231,37.5744505,126.9903077
11110,12800,615,서울특별시,종로구,관훈동,종로1.2.3.4가동,19981201,99991231,37.5744505,126.9903077
11110,12900,615,서울특별시,종로구,견지동,종로1.2.3.4가동,19981201,99991231,37.5744505,126.9903077
11110,15700,615,서울특별시,종로구,인의동,종로1.2.3.4가동,19981201,99991231,37.5744505,126.9903077
11110,13200,615,서울특별시,종로구,운니동,종로1.2.3.4가동,19981201,99991231,37.5744505,126.9903077
11110,12600,615,서울특별시,종로구,종로1가,종로1.2.3.4가동,19981201,99991231,37.5744505,126.9903077
11110,13000,615,서울특별시,종로구,와룡동,종로1.2.3.4가동,19981201,99991231,37.5962736,127.1419836
11110,13100,615,서울특별시,종로구,권농동,종로1.2.3.4가동,19981201,99991231,37.5744505,126.9903077
11110,16100,615,서울특별시,종로구,종로4가,종로1.2.3.4가동,19981201,99991231,37.5744505,126.9903077
11110,15400,615,서울특별시,종로구,장사동,종로1.2.3.4가동,19981201,99991231,37.5744505,126.9903077
11110,13700,615,서울특별시,종로구,낙원동,종로1.2.3.4가동,19981201,99991231,37.5744505,126.9903077
11110,12500,615,서울특별시,종로구,중학동,종로1.2.3.4가동,19981201,99991231,37.5962736,127.1419836
11110,15300,615,서울특별시,종로구,돈의동,종로1.2.3.4가동,19981201,99991231,37.5744505,126.9903077
11110,15200,615,서울특별시,종로구,봉익동,종로1.2.3.4가동,19981201,99991231,37.5744505,126.9903077
