노선명,역명,lat,lng,line,name,code,index,승차총승객수,하차총승객수,next_column,총승객수
안산선,오이도,37.362357,126.738714,04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선,오이도오이도오이도오이도오이도오이도오이도오이도오이도오이도오이도오이도오이도오이도오이도오이도오이도오이도오이도오이도오이도오이도오이도오이도오이도오이도오이도오이도오이도오이도,52860.0,606933465,248232,246677,606933765,494909
안산선,정왕,37.351735,126.742989,04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선,정왕정왕정왕정왕정왕정왕정왕정왕정왕정왕정왕정왕정왕정왕정왕정왕정왕정왕정왕정왕정왕정왕정왕정왕정왕정왕정왕정왕정왕정왕,52830.0,606933465,309110,313716,606933765,622826
안산선,중앙,37.315941,126.838573,04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선,중앙중앙중앙중앙중앙중앙중앙중앙중앙중앙중앙중앙중앙중앙중앙중앙중앙중앙중앙중앙중앙중앙중앙중앙중앙중앙중앙중앙중앙중앙,52680.0,606933465,566837,592338,606933765,1159175
안산선,초지,37.320646,126.805913,04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선,초지초지초지초지초지초지초지초지초지초지초지초지초지초지초지초지초지초지초지초지초지초지초지초지초지초지초지초지초지초지,52740.0,606933465,159417,160204,606933765,319621
안산선,한대앞,37.309689,126.85344,04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선,한대앞한대앞한대앞한대앞한대앞한대앞한대앞한대앞한대앞한대앞한대앞한대앞한대앞한대앞한대앞한대앞한대앞한대앞한대앞한대앞한대앞한대앞한대앞한대앞한대앞한대앞한대앞한대앞한대앞한대앞,52650.0,606933465,305419,306270,606933765,611689
우이신설선,4.19민주묘지,37.64954,127.01371,nannannannannannannannannannannannannannannannannannannannannannannannannannannannannannan,4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지4.19민주묘지,0.0,606933465,115230,109723,606933765,224953
우이신설선,가오리,37.641701,127.016792,우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철,가오리가오리가오리가오리가오리가오리가오리가오리가오리가오리가오리가오리가오리가오리가오리가오리가오리가오리가오리가오리가오리가오리가오리가오리가오리가오리가오리가오리가오리가오리,141120.0,606933465,129619,128753,606933765,258372
우이신설선,보문,37.585286,127.019381,06호선06호선06호선06호선06호선06호선06호선06호선06호선06호선06호선06호선06호선06호선06호선06호선06호선06호선06호선06호선06호선06호선06호선06호선06호선06호선06호선06호선06호선06호선,보문보문보문보문보문보문보문보문보문보문보문보문보문보문보문보문보문보문보문보문보문보문보문보문보문보문보문보문보문보문,79170.0,606933465,49089,48819,606933765,97908
우이신설선,북한산보국문,37.612343,127.008009,우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철,북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문북한산보국문,141270.0,606933465,200368,189371,606933765,389739
우이신설선,북한산우이,37.663146,127.012789,우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철,북한산우이북한산우이북한산우이북한산우이북한산우이북한산우이북한산우이북한산우이북한산우이북한산우이북한산우이북한산우이북한산우이북한산우이북한산우이북한산우이북한산우이북한산우이북한산우이북한산우이북한산우이북한산우이북한산우이북한산우이북한산우이북한산우이북한산우이북한산우이북한산우이북한산우이,141030.0,606933465,99446,92588,606933765,192034
우이신설선,삼양,37.627165,127.018152,우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철,삼양삼양삼양삼양삼양삼양삼양삼양삼양삼양삼양삼양삼양삼양삼양삼양삼양삼양삼양삼양삼양삼양삼양삼양삼양삼양삼양삼양삼양삼양,141180.0,606933465,60469,63534,606933765,124003
우이신설선,삼양사거리,37.621512,127.02048,우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철우이신설경전철,삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리삼양사거리,141210.0,606933465,76638,77062,606933765,153700
우이신설선,성신여대입구,37.592624,127.016403,04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선04호선,성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구성신여대입구,12540.0,606933465,107900,120813,606933765,228713
